scale M_vir R_vir R_max
8.987000e-02 2.645581e+07 7.688833e+00 5.447410e+00
8.874000e-02 2.445492e+07 7.489984e+00 6.367280e+00
8.761000e-02 2.288408e+07 7.326140e+00 4.812210e+00
8.650000e-02 2.176473e+07 7.204770e+00 5.154540e+00
8.541000e-02 2.058962e+07 7.072776e+00 4.169750e+00
8.433000e-02 1.981059e+07 6.982499e+00 4.489290e+00
8.326000e-02 1.945479e+07 6.940516e+00 5.235150e+00
8.220000e-02 1.894931e+07 6.879946e+00 5.200310e+00
8.116000e-02 1.801842e+07 6.765454e+00 4.914140e+00
8.013000e-02 1.719260e+07 6.660537e+00 4.577250e+00
7.912000e-02 1.515117e+07 6.385789e+00 4.336760e+00
7.812000e-02 1.480667e+07 6.337072e+00 3.754460e+00
7.713000e-02 1.419965e+07 6.249314e+00 3.784060e+00
7.615000e-02 1.197658e+07 5.904558e+00 2.518640e+00
7.519000e-02 1.115761e+07 5.766826e+00 2.619860e+00
7.423000e-02 1.175781e+07 5.868474e+00 3.279540e+00
7.329000e-02 1.070380e+07 5.687639e+00 3.111440e+00
7.236000e-02 1.007265e+07 5.573613e+00 2.944420e+00
7.145000e-02 8.943970e+06 5.357167e+00 2.707100e+00
7.054000e-02 8.726966e+06 5.313519e+00 3.619290e+00
6.965000e-02 7.439291e+06 5.038187e+00 2.351930e+00
6.877000e-02 7.311388e+06 5.009175e+00 2.996980e+00
6.790000e-02 6.635463e+06 4.849822e+00 2.418000e+00
6.704000e-02 6.093027e+06 4.713919e+00 2.227540e+00
6.619000e-02 4.951696e+06 4.399041e+00 1.728900e+00
