# scale mvir dist vel rvir rs vmax rvmax x y z
0.20847 143400000.0 0.1784744930059295 19.508145170904626 13.387 2.938 15.56 4.75083 61.94374 63.00347 65.78397
0.20583 138900000.0 0.17955798093787906 27.047102485977565 13.247 2.896 15.58 4.90984 61.93515 63.01102 65.75754
0.20322 136700000.0 0.18202665869927578 26.354624070085176 13.178 2.859 15.56 6.54679 61.92683 63.01853 65.73145
0.20064 135300000.0 0.18411869445545614 31.93297449055599 13.135 2.661 15.75 5.11256 61.91877 63.02605 65.70512
0.1981 135800000.0 0.1865109552924049 36.53204352434951 13.154 2.505 15.94 6.6086 61.91094 63.03352 65.67895
0.19559 138100000.0 0.18867251945715277 38.986330695952255 13.229 2.798 15.97 5.4267 61.90324 63.04085 65.65282
0.19312 138400000.0 0.1909727507451705 40.669474695594225 13.242 3.023 15.86 8.76343 61.89543 63.04818 65.62725
0.19067 140600000.0 0.192704895698756 41.39821949809321 13.313 3.611 15.89 9.92614 61.88781 63.05538 65.60172
0.18825 141600000.0 0.19421325731601302 44.360058393793096 13.343 4.151 15.93 10.5289 61.88029 63.06243 65.57659
0.18587 137800000.0 0.19554134700803116 47.46344614978176 13.226 3.516 16.13 10.8588 61.87256 63.06945 65.5516
0.18351 132200000.0 0.19678312738618037 50.838224987375405 13.047 2.658 16.31 9.19297 61.86493 63.07654 65.5269
0.18119 127300000.0 0.19788033519147472 54.432282663727776 12.882 2.366 16.64 8.55956 61.85723 63.08349 65.50237
0.1789 77650000.0 0.1549536455198381 43.166849489882985 10.927 1.752 14.35 3.11887 61.82554 63.05148 65.4774
0.17663 76140000.0 0.15481215978131294 42.82049121596337 10.857 1.663 14.36 3.36647 61.81835 63.05692 65.45376
0.17439 75250000.0 0.1549050825183321 39.76851021849868 10.815 1.735 14.47 2.57586 61.8114 63.06248 65.4302
0.17218 75080000.0 0.1548378521230307 38.36186051726715 10.808 1.751 14.57 2.71494 61.80445 63.06777 65.40668
0.17 73700000.0 0.1547748185415031 32.700360714990964 10.743 1.866 14.29 2.68272 61.79758 63.07283 65.38332
0.16785 73630000.0 0.15470092230841498 25.90389456765098 10.74 1.7 14.8 1.74455 61.7906 63.07861 65.36041
0.16572 73030000.0 0.15530797061537543 20.92487840952155 10.712 1.766 14.73 2.6004 61.78381 63.08402 65.33746
0.16362 73630000.0 0.1561603649462243 17.205048717551012 10.742 1.957 14.4 3.80017 61.77712 63.08953 65.3148
0.16155 73350000.0 0.15634486468379608 15.823483503288264 10.729 1.954 14.34 2.96604 61.77008 63.09484 65.29243
0.1595 72360000.0 0.1568183132905357 15.074684899828652 10.681 2.155 14.45 2.72797 61.76299 63.09994 65.27037
0.15748 72750000.0 0.1570929069700895 14.957548654013532 10.701 2.178 14.44 2.30449 61.75618 63.10516 65.24845
0.15549 72470000.0 0.15747110409278978 16.404758172687345 10.688 2.29 14.37 3.3211 61.74928 63.11011 65.22691
0.15352 72360000.0 0.1583030078244953 17.12773903279794 10.683 2.305 14.43 3.20804 61.74271 63.11545 65.20555
0.15157 71980000.0 0.15897618842992764 18.60216668272227 10.665 2.397 14.41 2.52289 61.73598 63.12032 65.1846
0.14965 71520000.0 0.15940624077250898 19.416921280024116 10.643 2.541 14.33 2.26323 61.72946 63.12508 65.16376
0.14776 70740000.0 0.16008071496529258 20.694282361730927 10.605 2.549 14.23 6.4988 61.7233 63.13002 65.14292
0.14589 69400000.0 0.16056590639101131 21.509947925259826 10.538 2.435 14.34 3.4203 61.71706 63.13498 65.12252
0.14404 69050000.0 0.1605898891819845 18.37210151650344 10.52 2.502 14.32 3.92419 61.71056 63.13974 65.10246
0.14221 67530000.0 0.16148395334661872 15.350501711922492 10.443 2.684 14.25 4.06277 61.70482 63.145 65.08216
0.14041 68660000.0 0.16115185745172184 13.93533257576679 10.502 2.888 14.36 3.10029 61.69831 63.14933 65.063
0.13863 67570000.0 0.1614626532553614 16.24573325698386 10.446 2.888 14.33 2.94625 61.69217 63.15405 65.04352
0.13688 65140000.0 0.16257148255827944 19.923167776069587 10.32 2.436 14.35 3.14857 61.68632 63.1587 65.02429
0.13514 63590000.0 0.16366914963138882 21.411685134980424 10.238 2.41 14.41 4.07386 61.68036 63.16303 65.00541
0.13343 62140000.0 0.16488027485960247 21.881333729823417 10.16 2.156 14.62 4.95695 61.67419 63.16743 64.98694
0.13174 59640000.0 0.1663829093424092 22.02680337696534 10.022 2.067 14.64 5.26729 61.66835 63.17185 64.96835
0.13007 56710000.0 0.16777430382768305 21.12769437560393 9.856 1.646 14.81 3.77945 61.66238 63.17614 64.95012
0.12843 55440000.0 0.1690415634656615 20.6756412335266 9.782 1.636 14.84 3.19672 61.65638 63.18022 64.93233
0.1268 53470000.0 0.170454139997136 19.698409754512976 9.665 1.695 14.89 4.64179 61.65063 63.18425 64.91452
0.12519 51850000.0 0.1723244670375864 19.798740291558452 9.567 1.764 14.71 4.41917 61.64495 63.18845 64.89728
0.12361 50650000.0 0.1734429008585637 19.35312791585109 9.493 1.694 14.56 3.45544 61.63905 63.19228 64.88027
0.12204 43880000.0 0.40756908392818936 40.15335581616235 9.05 3.507 13.13 8.20222 61.82164 63.0364 64.59563
0.1205 43320000.0 0.4042891156137589 36.002118540819126 9.011 3.646 13.13 8.75916 61.81592 63.04093 64.57986
0.11897 43040000.0 0.40221222506772725 33.40953364503952 8.992 3.483 13.16 8.98118 61.80965 63.04441 64.56422
0.11746 41310000.0 0.3990571826343886 30.128461432867464 8.87 3.149 13.1 8.75334 61.80423 63.04878 64.54854
0.11597 40920000.0 0.3967670936351071 27.16386938468411 8.843 3.007 13.14 6.86365 61.79823 63.05264 64.53322
0.11451 41100000.0 0.39493723872395303 26.311088752303807 8.855 3.44 13.23 8.73601 61.79255 63.05631 64.51808
0.11306 41340000.0 0.39273112621844386 24.02476013718113 8.873 3.502 13.34 8.4809 61.78688 63.06026 64.50287
0.11162 42190000.0 0.39089983953447477 20.5206270154448 8.934 3.791 13.51 8.68967 61.78136 63.06399 64.4881
0.11021 42230000.0 0.388803473742096 19.862358281009325 8.936 3.954 13.62 8.52173 61.77597 63.06783 64.47315
0.10881 43040000.0 0.388148012419898 18.23507819328225 8.993 4.349 13.93 8.11214 61.77031 63.07063 64.45885
0.10744 42020000.0 0.3860376821404729 18.056920592577075 8.922 4.14 13.89 7.22103 61.76534 63.07472 64.44434
0.10607 41560000.0 0.38479013076764434 15.054390940032876 8.889 3.286 14.08 6.11732 61.7602 63.07801 64.43015
0.10473 41310000.0 0.38367714166415706 15.678227364662717 8.872 3.556 14.15 7.63008 61.75506 63.08119 64.41615
0.1034 40890000.0 0.38259327735600535 15.758988803777921 8.842 2.89 14.28 7.2788 61.74999 63.08423 64.40246
0.1021 39580000.0 0.38146658453601034 15.89265722750025 8.747 2.356 14.44 6.26004 61.74481 63.08714 64.38872
0.1008 38740000.0 0.3803521304497825 14.037213983843955 8.684 2.197 14.57 5.70593 61.73978 63.09026 64.37547
0.09952 37930000.0 0.37929923187834413 12.055558410394891 8.623 1.93 14.61 5.36108 61.73464 63.09314 64.36228
0.09826 36590000.0 0.37844406134109687 10.691640721624513 8.521 1.996 14.55 5.51222 61.72965 63.0961 64.3492
0.09702 35350000.0 0.37798500335819324 10.022747928011151 8.424 2.148 14.31 6.17228 61.72458 63.09902 64.33656
0.09579 33310000.0 0.3775971622445126 12.22895048764687 8.259 1.847 14.19 5.78174 61.7195 63.10151 64.32347
0.09458 31830000.0 0.3771710774248604 13.49136153062053 8.135 2.217 13.94 5.99897 61.71491 63.1041 64.31091
0.09338 30140000.0 0.37677728249915465 12.700277251334946 7.988 2.744 13.72 6.27617 61.70985 63.10674 64.29845
0.0922 28830000.0 0.3760725102132596 13.419839853051188 7.871 2.99 13.64 6.18744 61.70523 63.10955 64.28593
0.09103 27100000.0 0.37573400220808184 11.694060126249616 7.711 3.953 13.23 6.61111 61.70046 63.11199 64.27389
0.08987 25770000.0 0.3748857351750984 11.36005051964488 7.582 3.428 12.97 5.44741 61.69585 63.11503 64.26158
0.08874 23440000.0 0.37455591201525373 12.560322444446687 7.346 2.965 12.61 6.36728 61.69117 63.11778 64.24956
0.08761 21820000.0 0.3744019159101986 12.527523224764154 7.173 2.241 12.58 4.81221 61.68695 63.12027 64.23793
0.0865 20300000.0 0.3732282902467997 12.782539927173984 7.003 2.013 12.38 5.15454 61.68272 63.12329 64.22601
0.08541 18500000.0 0.3730730755484039 12.477569629536283 6.79 1.49 12.41 4.16975 61.67889 63.12558 64.2146
0.08433 17590000.0 0.3723769928045662 12.017365274708169 6.676 1.35 12.24 4.48929 61.67466 63.12857 64.20312
0.08326 17170000.0 0.3717023973355429 15.763424271305247 6.622 1.271 12.12 5.23515 61.67102 63.13079 64.19176
